country,date,cases,deaths,recovered
Poland,2020-03-04,1,0,0
Poland,2020-03-05,1,0,0
Poland,2020-03-06,5,0,0
Poland,2020-03-07,5,0,0
Poland,2020-03-08,11,0,0
Poland,2020-03-09,16,0,0
Poland,2020-03-10,22,0,0
Poland,2020-03-11,31,0,0
Poland,2020-03-12,49,1,0
Poland,2020-03-13,68,2,0
Poland,2020-03-14,103,3,0
Croatia,2020-02-25,1,0,0
Croatia,2020-02-26,3,0,0
Croatia,2020-02-27,3,0,0
Croatia,2020-02-28,5,0,0
Croatia,2020-02-29,6,0,0
Croatia,2020-03-01,7,0,0
Croatia,2020-03-02,7,0,0
Croatia,2020-03-03,9,0,0
Croatia,2020-03-04,10,0,0
Croatia,2020-03-05,10,0,0
Croatia,2020-03-06,11,0,0
Croatia,2020-03-07,12,0,0
Croatia,2020-03-08,12,0,0
Croatia,2020-03-09,12,0,0
Croatia,2020-03-10,14,0,0
Croatia,2020-03-11,19,0,0
Croatia,2020-03-12,19,0,0
Croatia,2020-03-13,32,0,1
Croatia,2020-03-14,38,0,1
Greece,2020-02-26,1,0,0
Greece,2020-02-27,3,0,0
Greece,2020-02-28,4,0,0
Greece,2020-02-29,4,0,0
Greece,2020-03-01,7,0,0
Greece,2020-03-02,7,0,0
Greece,2020-03-03,7,0,0
Greece,2020-03-04,9,0,0
Greece,2020-03-05,31,0,0
Greece,2020-03-06,45,0,0
Greece,2020-03-07,46,0,0
Greece,2020-03-08,73,0,0
Greece,2020-03-09,73,0,0
Greece,2020-03-10,89,0,0
Greece,2020-03-11,99,1,0
Greece,2020-03-12,99,1,0
Greece,2020-03-13,190,1,0
Greece,2020-03-14,228,3,8
Japan,2020-01-22,2,0,0
Japan,2020-01-23,1,0,0
Japan,2020-01-24,2,0,0
Japan,2020-01-25,2,0,0
Japan,2020-01-26,4,0,1
Japan,2020-01-27,4,0,1
Japan,2020-01-28,7,0,1
Japan,2020-01-29,7,0,1
Japan,2020-01-30,11,0,1
Japan,2020-01-31,15,0,1
Japan,2020-02-01,20,0,1
Japan,2020-02-02,20,0,1
Japan,2020-02-03,20,0,1
Japan,2020-02-04,22,0,1
Japan,2020-02-05,22,0,1
Japan,2020-02-06,45,0,1
Japan,2020-02-07,25,0,1
Japan,2020-02-08,25,0,1
Japan,2020-02-09,26,0,1
Japan,2020-02-10,26,0,4
Japan,2020-02-11,26,0,9
Japan,2020-02-12,28,0,9
Japan,2020-02-13,28,1,9
Japan,2020-02-14,29,1,9
Japan,2020-02-15,43,1,12
Japan,2020-02-16,59,1,12
Japan,2020-02-17,66,1,12
Japan,2020-02-18,74,1,13
Japan,2020-02-19,84,1,18
Japan,2020-02-20,94,1,18
Japan,2020-02-21,105,1,22
Japan,2020-02-22,122,1,22
Japan,2020-02-23,147,1,22
Japan,2020-02-24,159,1,22
Japan,2020-02-25,170,1,22
Japan,2020-02-26,189,2,22
Japan,2020-02-27,214,4,22
Japan,2020-02-28,228,4,22
Japan,2020-02-29,241,5,32
Japan,2020-03-01,256,6,32
Japan,2020-03-02,274,6,32
Japan,2020-03-03,293,6,43
Japan,2020-03-04,331,6,43
Japan,2020-03-05,360,6,43
Japan,2020-03-06,420,6,46
Japan,2020-03-07,461,6,76
Japan,2020-03-08,502,6,76
Japan,2020-03-09,511,10,76
Japan,2020-03-10,581,10,101
Japan,2020-03-11,639,15,118
Japan,2020-03-12,639,16,118
Japan,2020-03-13,701,19,118
Japan,2020-03-14,773,22,118
Bosnia and Herzegovina,2020-03-05,2,0,0
Bosnia and Herzegovina,2020-03-06,2,0,0
Bosnia and Herzegovina,2020-03-07,3,0,0
Bosnia and Herzegovina,2020-03-08,3,0,0
Bosnia and Herzegovina,2020-03-09,3,0,0
Bosnia and Herzegovina,2020-03-10,5,0,0
Bosnia and Herzegovina,2020-03-11,7,0,0
Bosnia and Herzegovina,2020-03-12,11,0,0
Bosnia and Herzegovina,2020-03-13,13,0,0
Bosnia and Herzegovina,2020-03-14,18,0,0
Spain,2020-02-01,1,0,0
Spain,2020-02-02,1,0,0
Spain,2020-02-03,1,0,0
Spain,2020-02-04,1,0,0
Spain,2020-02-05,1,0,0
Spain,2020-02-06,1,0,0
Spain,2020-02-07,1,0,0
Spain,2020-02-08,1,0,0
Spain,2020-02-09,2,0,0
Spain,2020-02-10,2,0,0
Spain,2020-02-11,2,0,0
Spain,2020-02-12,2,0,0
Spain,2020-02-13,2,0,0
Spain,2020-02-14,2,0,0
Spain,2020-02-15,2,0,2
Spain,2020-02-16,2,0,2
Spain,2020-02-17,2,0,2
Spain,2020-02-18,2,0,2
Spain,2020-02-19,2,0,2
Spain,2020-02-20,2,0,2
