zemlja,country,date,cases,deaths,recovered
Albanija,Albania,2020-03-15,42,1,0
Austrija,Austria,2020-03-01,14,0,0
Austrija,Austria,2020-03-08,104,0,0
Austrija,Austria,2020-03-15,860,1,6
Belgija,Belgium,2020-02-16,1,0,0
Belgija,Belgium,2020-02-23,1,0,1
Belgija,Belgium,2020-03-01,2,0,1
Belgija,Belgium,2020-03-08,200,0,1
Belgija,Belgium,2020-03-15,886,4,1
Bosna i Hercegovina,Bosnia and Herzegovina,2020-03-08,3,0,0
Bosna i Hercegovina,Bosnia and Herzegovina,2020-03-15,24,0,0
Brazil,Brazil,2020-03-01,2,0,0
Brazil,Brazil,2020-03-08,20,0,0
Brazil,Brazil,2020-03-15,162,0,0
Danska,Denmark,2020-03-01,4,0,0
Danska,Denmark,2020-03-08,35,0,1
Danska,Denmark,2020-03-15,864,2,1
Finska,Finland,2020-02-16,1,0,1
Finska,Finland,2020-02-23,1,0,1
Finska,Finland,2020-03-01,6,0,1
Finska,Finland,2020-03-08,23,0,1
Finska,Finland,2020-03-15,244,0,10
Francuska,France,2020-02-16,12,1,4
Francuska,France,2020-02-23,12,1,4
Francuska,France,2020-03-01,130,2,12
Francuska,France,2020-03-08,1126,19,12
Francuska,France,2020-03-15,4499,91,12
Grčka,Greece,2020-03-01,7,0,0
Grčka,Greece,2020-03-08,73,0,0
Grčka,Greece,2020-03-15,331,4,8
Hrvatska,Croatia,2020-03-01,7,0,0
Hrvatska,Croatia,2020-03-08,12,0,0
Hrvatska,Croatia,2020-03-15,49,0,1
Iran,Iran,2020-02-23,43,8,0
Iran,Iran,2020-03-01,978,54,175
Iran,Iran,2020-03-08,6566,194,2134
Iran,Iran,2020-03-15,13938,724,4590
Italija,Italy,2020-02-16,3,0,0
Italija,Italy,2020-02-23,155,3,2
Italija,Italy,2020-03-01,1694,34,83
Italija,Italy,2020-03-08,7375,366,622
Italija,Italy,2020-03-15,24747,1809,2335
Japan,Japan,2020-02-16,59,1,12
Japan,Japan,2020-02-23,147,1,22
Japan,Japan,2020-03-01,256,6,32
Japan,Japan,2020-03-08,502,6,76
Japan,Japan,2020-03-15,839,22,118
Južna Koreja,South Korea,2020-02-16,29,0,9
Južna Koreja,South Korea,2020-02-23,602,6,18
Južna Koreja,South Korea,2020-03-01,3736,17,30
Južna Koreja,South Korea,2020-03-08,7314,50,118
Južna Koreja,South Korea,2020-03-15,8162,75,510
Kina,China,2020-02-16,58182,1696,6639
Kina,China,2020-02-23,64084,2346,15343
Kina,China,2020-03-01,66907,2761,31536
Kina,China,2020-03-08,67707,2986,45235
Kina,China,2020-03-15,67794,3085,54288
Mađarska,Hungary,2020-03-08,7,0,0
Mađarska,Hungary,2020-03-15,32,1,1
Nizozemska,Netherlands,2020-03-01,10,0,0
Nizozemska,Netherlands,2020-03-08,265,3,0
Nizozemska,Netherlands,2020-03-15,1135,20,2
Njemačka,Germany,2020-02-16,16,0,1
Njemačka,Germany,2020-02-23,16,0,14
Njemačka,Germany,2020-03-01,130,0,16
Njemačka,Germany,2020-03-08,1040,0,18
Njemačka,Germany,2020-03-15,5795,11,46
Norveška,Norway,2020-03-01,19,0,0
Norveška,Norway,2020-03-08,176,0,0
Norveška,Norway,2020-03-15,1221,3,1
Poljska,Poland,2020-03-08,11,0,0
Poljska,Poland,2020-03-15,119,3,0
Rusija,Russia,2020-02-16,2,0,2
Rusija,Russia,2020-02-23,2,0,2
Rusija,Russia,2020-03-01,2,0,2
Rusija,Russia,2020-03-08,17,0,3
Rusija,Russia,2020-03-15,63,0,8
Singapur,Singapore,2020-02-16,75,0,18
Singapur,Singapore,2020-02-23,89,0,51
Singapur,Singapore,2020-03-01,106,0,72
Singapur,Singapore,2020-03-08,150,0,78
Singapur,Singapore,2020-03-15,226,0,105
Slovačka,Slovakia,2020-03-08,3,0,0
Slovačka,Slovakia,2020-03-15,54,0,0
Slovenija,Slovenia,2020-03-08,16,0,0
Slovenija,Slovenia,2020-03-15,219,1,0
Srbija,Serbia,2020-03-08,1,0,0
Srbija,Serbia,2020-03-15,48,0,0
Češka,Czechia,2020-03-01,3,0,0
Češka,Czechia,2020-03-08,31,0,0
Češka,Czechia,2020-03-15,253,0,0
Španjolska,Spain,2020-02-23,2,0,2
Španjolska,Spain,2020-03-01,84,0,2
Španjolska,Spain,2020-03-08,673,17,30
Španjolska,Spain,2020-03-15,7798,289,517
Švedska,Sweden,2020-02-16,1,0,0
Švedska,Sweden,2020-02-23,1,0,0
Švedska,Sweden,2020-03-01,14,0,0
Švedska,Sweden,2020-03-08,203,0,0
Švedska,Sweden,2020-03-15,1022,3,1
Švicarska,Switzerland,2020-03-01,27,0,0
Švicarska,Switzerland,2020-03-08,337,2,3
Švicarska,Switzerland,2020-03-15,2200,14,4
