CountryName,CountryCode,Date,StringencyIndex
Afghanistan,AFG,2020-01-01,0
Angola,AGO,2020-01-01,0
Argentina,ARG,2020-01-01,0
Australia,AUS,2020-01-01,7
Austria,AUT,2020-01-01,0
Belgium,BEL,2020-01-01,0
Bulgaria,BGR,2020-01-01,0
Belize,BLZ,2020-01-01,0
Bermuda,BMU,2020-01-01,0
Bolivia,BOL,2020-01-01,0
Brazil,BRA,2020-01-01,0
Barbados,BRB,2020-01-01,0
Botswana,BWA,2020-01-01,19
Canada,CAN,2020-01-01,0
Switzerland,CHE,2020-01-01,0
Chile,CHL,2020-01-01,0
China,CHN,2020-01-01,0
Colombia,COL,2020-01-01,0
Costa Rica,CRI,2020-01-01,0
Czech Republic,CZE,2020-01-01,0
Germany,DEU,2020-01-01,0
Dominican Republic,DOM,2020-01-01,0
Algeria,DZA,2020-01-01,0
Ecuador,ECU,2020-01-01,0
Spain,ESP,2020-01-01,0
Finland,FIN,2020-01-01,0
France,FRA,2020-01-01,0
United Kingdom,GBR,2020-01-01,0
Greece,GRC,2020-01-01,0
Guatemala,GTM,2020-01-01,0
Guyana,GUY,2020-01-01,0
Hong Kong,HKG,2020-01-01,14
Honduras,HND,2020-01-01,0
Croatia,HRV,2020-01-01,0
Hungary,HUN,2020-01-01,0
Indonesia,IDN,2020-01-01,0
India,IND,2020-01-01,0
Ireland,IRL,2020-01-01,0
Iran,IRN,2020-01-01,0
Iraq,IRQ,2020-01-01,0
Iceland,ISL,2020-01-01,5
Israel,ISR,2020-01-01,0
Italy,ITA,2020-01-01,0
Jordan,JOR,2020-01-01,0
Japan,JPN,2020-01-01,0
Kazakhstan,KAZ,2020-01-01,0
Kenya,KEN,2020-01-01,0
South Korea,KOR,2020-01-01,0
Sri Lanka,LKA,2020-01-01,0
Macao,MAC,2020-01-01,14
Mexico,MEX,2020-01-01,0
Myanmar,MMR,2020-01-01,0
Malaysia,MYS,2020-01-01,0
Nigeria,NGA,2020-01-01,5
Nicaragua,NIC,2020-01-01,0
Netherlands,NLD,2020-01-01,0
Norway,NOR,2020-01-01,0
New Zealand,NZL,2020-01-01,0
Pakistan,PAK,2020-01-01,0
Panama,PAN,2020-01-01,0
Papua New Guinea,PNG,2020-01-01,0
Poland,POL,2020-01-01,0
Portugal,PRT,2020-01-01,0
Qatar,QAT,2020-01-01,0
Romania,ROU,2020-01-01,0
Russia,RUS,2020-01-01,0
Singapore,SGP,2020-01-01,0
El Salvador,SLV,2020-01-01,0
Serbia,SRB,2020-01-01,0
Slovak Republic,SVK,2020-01-01,0
