dateStr,territory,deaths,cases,weekTests
2020-02-24,13,0,0,
2020-02-24,17,0,0,
2020-02-24,18,0,0,
2020-02-24,15,0,0,
2020-02-24,8,0,18,
2020-02-24,6,0,0,
2020-02-24,12,0,3,
2020-02-24,7,0,0,
2020-02-24,3,6,172,
2020-02-24,11,0,0,
2020-02-24,14,0,0,
2020-02-24,21,0,0,
2020-02-24,22,0,0,
2020-02-24,1,0,3,
2020-02-24,16,0,0,
2020-02-24,20,0,0,
2020-02-24,19,0,0,
2020-02-24,9,0,0,
2020-02-24,10,0,0,
2020-02-24,2,0,0,
2020-02-24,5,1,33,
2020-02-25,13,0,0,
2020-02-25,17,0,0,
2020-02-25,18,0,0,
2020-02-25,15,0,0,
2020-02-25,8,0,26,
2020-02-25,6,0,0,
2020-02-25,12,0,3,
2020-02-25,7,0,1,
2020-02-25,3,9,240,
2020-02-25,11,0,0,
2020-02-25,14,0,0,
2020-02-25,21,0,1,
2020-02-25,22,0,0,
2020-02-25,1,0,3,
2020-02-25,16,0,0,
2020-02-25,20,0,0,
2020-02-25,19,0,3,
2020-02-25,9,0,2,
2020-02-25,10,0,0,
2020-02-25,2,0,0,
2020-02-25,5,1,43,
2020-02-26,13,0,0,
2020-02-26,17,0,0,
2020-02-26,18,0,0,
2020-02-26,15,0,0,
2020-02-26,8,1,47,
2020-02-26,6,0,0,
2020-02-26,12,0,3,
2020-02-26,7,0,11,
2020-02-26,3,9,258,
2020-02-26,11,0,1,
2020-02-26,14,0,0,
2020-02-26,21,0,1,
2020-02-26,22,0,0,
2020-02-26,1,0,3,
2020-02-26,16,0,0,
2020-02-26,20,0,0,
2020-02-26,19,0,3,
2020-02-26,9,0,2,
2020-02-26,10,0,0,
2020-02-26,2,0,0,
2020-02-26,5,2,71,
2020-02-27,13,0,1,
2020-02-27,17,0,0,
2020-02-27,18,0,0,
2020-02-27,15,0,3,
2020-02-27,8,1,97,
2020-02-27,6,0,0,
2020-02-27,12,0,3,
2020-02-27,7,0,19,
2020-02-27,3,14,403,
2020-02-27,11,0,3,
2020-02-27,14,0,0,
2020-02-27,21,0,1,
2020-02-27,22,0,0,
2020-02-27,1,0,2,
2020-02-27,16,0,1,
2020-02-27,20,0,0,
2020-02-27,19,0,4,
2020-02-27,9,0,2,
2020-02-27,10,0,0,
2020-02-27,2,0,0,
2020-02-27,5,2,111,
2020-02-28,13,0,1,
2020-02-28,17,0,0,
2020-02-28,18,0,1,
2020-02-28,15,0,4,
2020-02-28,8,2,145,
2020-02-28,6,0,0,
2020-02-28,12,0,3,
2020-02-28,7,0,19,
2020-02-28,3,17,531,
2020-02-28,11,0,6,
2020-02-28,14,0,0,
2020-02-28,21,0,1,
2020-02-28,22,0,0,
2020-02-28,1,0,11,
2020-02-28,16,0,3,
2020-02-28,20,0,0,
2020-02-28,19,0,4,
2020-02-28,9,0,8,
2020-02-28,10,0,0,
2020-02-28,2,0,0,
2020-02-28,5,2,151,
2020-02-29,13,0,2,
2020-02-29,17,0,0,
2020-02-29,18,0,1,
2020-02-29,15,0,13,
2020-02-29,8,4,217,
2020-02-29,6,0,0,
2020-02-29,12,0,6,
2020-02-29,7,0,42,
2020-02-29,3,23,615,
2020-02-29,11,0,11,
2020-02-29,14,0,0,
2020-02-29,21,0,1,
2020-02-29,22,0,0,
2020-02-29,1,0,11,
2020-02-29,16,0,3,
2020-02-29,20,0,0,
2020-02-29,19,0,4,
2020-02-29,9,0,11,
2020-02-29,10,0,0,
2020-02-29,2,0,0,
2020-02-29,5,2,191,
2020-03-01,13,0,5,
2020-03-01,17,0,0,
2020-03-01,18,0,1,
2020-03-01,15,0,17,
2020-03-01,8,8,285,
2020-03-01,6,0,6,
2020-03-01,12,0,6,
2020-03-01,7,0,25,
2020-03-01,3,24,984,
2020-03-01,11,0,25,
2020-03-01,14,0,0,
2020-03-01,21,0,1,
2020-03-01,22,0,0,
2020-03-01,1,0,49,
2020-03-01,16,0,3,
2020-03-01,20,0,0,
2020-03-01,19,0,9,
2020-03-01,9,0,13,
2020-03-01,10,0,2,
2020-03-01,2,0,0,
2020-03-01,5,2,263,
2020-03-02,13,0,5,
2020-03-02,17,0,0,
2020-03-02,18,0,1,
2020-03-02,15,0,17,
2020-03-02,8,11,335,
2020-03-02,6,0,9,
2020-03-02,12,0,7,
2020-03-02,7,0,22,
2020-03-02,3,38,1254,
2020-03-02,11,1,35,
2020-03-02,14,0,0,
2020-03-02,21,0,1,
2020-03-02,22,0,0,
2020-03-02,1,0,51,
2020-03-02,16,0,4,
2020-03-02,20,0,0,
2020-03-02,19,0,7,
2020-03-02,9,0,13,
2020-03-02,10,0,2,
2020-03-02,2,0,0,
2020-03-02,5,2,273,
2020-03-03,13,0,6,
2020-03-03,17,0,1,
2020-03-03,18,0,1,
2020-03-03,15,0,30,
2020-03-03,8,18,420,
2020-03-03,6,0,13,
2020-03-03,12,0,14,
2020-03-03,7,1,24,
2020-03-03,3,55,1520,
2020-03-03,11,2,61,
2020-03-03,14,0,3,
2020-03-03,21,0,1,
2020-03-03,22,0,4,
2020-03-03,1,0,56,
2020-03-03,16,0,6,
2020-03-03,20,0,1,
2020-03-03,19,0,7,
2020-03-03,9,0,19,
2020-03-03,10,0,8,
2020-03-03,2,0,0,
2020-03-03,5,3,307,
2020-03-04,13,0,7,
2020-03-04,17,0,1,
2020-03-04,18,0,1,
2020-03-04,15,0,31,
2020-03-04,8,22,544,
2020-03-04,6,0,18,
2020-03-04,12,0,30,
2020-03-04,7,1,26,
2020-03-04,3,73,1820,
2020-03-04,11,4,84,
2020-03-04,14,0,3,
2020-03-04,21,0,1,
2020-03-04,22,0,5,
2020-03-04,1,0,82,
2020-03-04,16,1,9,
2020-03-04,20,0,2,
2020-03-04,19,0,18,
2020-03-04,9,0,38,
2020-03-04,10,0,9,
2020-03-04,2,0,0,
2020-03-04,5,6,360,
2020-03-05,13,0,8,
2020-03-05,17,0,1,
2020-03-05,18,0,2,
2020-03-05,15,0,45,
2020-03-05,8,30,698,
2020-03-05,6,0,21,
2020-03-05,12,0,44,
2020-03-05,7,3,28,
2020-03-05,3,98,2251,
2020-03-05,11,4,124,
2020-03-05,14,0,7,
2020-03-05,21,0,1,
2020-03-05,22,0,7,
2020-03-05,1,2,108,
2020-03-05,16,1,14,
2020-03-05,20,0,2,
2020-03-05,19,0,18,
2020-03-05,9,0,61,
2020-03-05,10,0,9,
2020-03-05,2,0,2,
2020-03-05,5,10,407,
2020-03-06,13,0,9,
2020-03-06,17,0,3,
2020-03-06,18,0,4,
2020-03-06,15,0,57,
2020-03-06,8,37,870,
2020-03-06,6,0,31,
2020-03-06,12,1,54,
2020-03-06,7,3,32,
2020-03-06,3,135,2612,
2020-03-06,11,4,159,
2020-03-06,14,0,12,
2020-03-06,21,0,4,
2020-03-06,22,0,10,
2020-03-06,1,4,143,
2020-03-06,16,1,17,
2020-03-06,20,0,5,
2020-03-06,19,0,24,
2020-03-06,9,0,79,
2020-03-06,10,0,16,
2020-03-06,2,0,7,
2020-03-06,5,12,488,
2020-03-07,13,0,11,
2020-03-07,17,0,3,
2020-03-07,18,0,4,
2020-03-07,15,0,61,
2020-03-07,8,48,1010,
2020-03-07,6,0,42,
2020-03-07,12,1,76,
2020-03-07,7,4,51,
2020-03-07,3,154,3420,
2020-03-07,11,6,207,
2020-03-07,14,0,14,
2020-03-07,21,0,9,
2020-03-07,22,0,14,
2020-03-07,1,5,207,
2020-03-07,16,2,26,
2020-03-07,20,0,5,
2020-03-07,19,0,35,
2020-03-07,9,0,113,
2020-03-07,10,0,24,
2020-03-07,2,0,8,
2020-03-07,5,13,543,
2020-03-08,13,0,17,
2020-03-08,17,0,4,
2020-03-08,18,0,9,
2020-03-08,15,0,101,
2020-03-08,8,56,1180,
